"User","Użytkownik"
"User type","Typ użytkownika"
"View user's profile","Zobacz profil użytkownika"
"Add your own opinion","Dodaj własną opinię"
"Criterion sorting","Sortuj wg:"
"Latest","Najnowsze"
"Top rated","Najwyżej oceniane"
"The lowest assessment","Najniżej oceniane"
"EVALUATION OF PRODUCT","OCENA PRODUKTU"
"Value for money","Stosunek jakości do ceny"
"Value for money:","Stosunek jakości do ceny:"
"Production quality","Jakość wykonania"
"Durability and reliability","Trwałość i bezawaryjność"
"Product failure","Awaryjność produktu"
"Easy to install","Łatwość montażu"
"Average product","Średnia ocena produktu"
"Do you purchased this product","Czy używasz tego produktu"
"Do you recommend this product","Czy polecasz ten produkt"
"Product highlights","Zalety produktu"
"read more","czytaj całość"
"Product defects","Wady produktu"
"Summary","Podsumowanie"
"See photos","Zobacz zdjęcia"
"See footage","Zobacz materiał filmowy"
"Comment added","Komentarz dodany"
"Comment","Komentarz"
"Text of opinion","Tekst opinii"
"Text of comment","Tekst komentarza"
"Opinion has <span>%d</span> comments.","Opinia posiada <span>%d</span> komentarzy."
"user","przez użytkownika"
"Opinion has","Opinia posiada"
"comments","komentarzy"
"see them all","zobacz je wszystkie"
"Add your own comment","Dodaj własny komentarz"
"Edytuj swój profil","Edytuj swój profil"
"Hide these comments","Ukryj te komentarze"
"Rozmyśliłem się, nie chcę dodawać opinii.","Rozmyśliłem się, nie chcę dodawać opinii."
"User profile","Profil użytkownika"
"User profile","Profil użytkownika"
"ABOUT USER","O UŻYTKOWNIKU"
"Website User","Strona internetowa użytkownika"
"See this user","Zobacz stronę użytkownika"
"Criterion sorting","Sortuj wg:"
"Latest","Najnowsze"
"Top rated","Najwyżej oceniane"
"The lowest assessment","Najniżej oceniane"
"This product","Opisywany produkt"
"Content","Treść"
"Rating","Ocena"
"Rating: ","Ocena: "
"Product rating","Ocena produktu"
"Product rating: %s/5","Ocena produktu: %s/5"
"see more","zobacz więcej"
"user","przez użytkownika"
"Delete photo","Usuń zdjęcie"
"Image","Obraz"
"Site","Strona"
"Disallowed file type.","Niedozwolony typ pliku."
"Close form","Zamknij formularz"
"Image was successfully added!","Obraz został pomyślnie dodany!"
"Image was successfully deleted!","Obraz został usunięty!"
"Url was successfully added!","Url został pomyślnie dodany!"
"Recommendation Information","Ustawienia konta"
"User involvement","Zaangażowanie użytkownika:"
"Opinion was successfully added.","Opinia została pomyślnie dodana."
"Can\'t add opinion. Please try again.","Nie można dodać opini. Proszę spróbować ponownie."
"Dictionaries","Słowniki"
"Add new type","Dodaj nowy typ"
"Administrator","Administrator"
"User type","Typ użytkownika"
"Type and user level","Typ oraz poziom użytkownika"
"Didn\'t save %s value","Didn\'t save %s value"
"User level","Poziom użytkownika"
"Quantity pkt","Ilość pkt"
"Add a new level","Dodaj nowy poziom"
"See user page","Zobacz stronę użytkownika"
"Description","Opis"
"User type didn\'t save.","Typ użytkownika nie został zapisany."
"--Select user type--","--Wybierz typ użytkownika--"
"Add link from Youtube","Podaj link z serwisu Youtube"
"<strong>Uwaga! Nie jesteś zalogowanym użytkownikiem, aby dodać opinię musisz zalogować się lub założyć konto na
naszym serwisie. </strong><br/>Możesz to zrobić od razu podając poniżej twój adres e-mail (który będzie pełnił funkcję
loginu, hasło oraz twój nick (czytelnicy będą znali Cię właśnie na jego podstawie). Instrukcję dalszego
"postępowania otrzymasz w potwierdzającym mailu.","<strong>Uwaga! Nie jesteś zalogowanym użytkownikiem, aby dodać opinię musisz zalogować się lub założyć konto na naszym serwisie. </strong><br/>Możesz to zrobić od razu podając poniżej twój adres e-mail (który będzie pełnił funkcję
loginu, hasło oraz twój nick (czytelnicy będą znali Cię właśnie na jego podstawie). Instrukcję dalszego
"postępowania otrzymasz w potwierdzającym mailu."
"Opinion on: <span>%s</span>","Opinia z dnia: <span>%s</span>"
"Product highlights","Zalety produktu"
"read more","czytaj całość"
"Product defects","Wady produktu"
"See photos","Zobacz zdjęcia"
"See footage","Zobacz materiał filmowy"
"Comment added <span>%s</span>, user: <span>%s</span>","Komentarz dodany <span>%s</span> przez użytkownika: <span>%s</span>"
"Opinion has <span>%s</span> comments.","Opinia posiada <span>%s</span> komentarzy."
"Add your own comment","Dodaj własny komentarz"
"%s opinion(s)","%s opinii"
